transaction_id,timestamp,day_of_week,is_weekend,hour,total_amount,num_items,payment_method
117,2024-12-03 10:00:36,Tuesday,0,10,18.5,3,Cash
118,2024-04-27 14:22:14,Saturday,1,14,6.25,2,Cash
119,2024-11-17 08:40:41,Sunday,0,8,3.5,1,Card
120,2024-03-08 08:18:20,Friday,0,8,7.0,2,Card
121,2024-09-28 13:17:53,Saturday,1,13,27.0,4,Cash
122,2024-02-08 08:14:55,Thursday,0,8,7.75,2,Cash
123,2024-07-06 09:25:00,Saturday,1,9,4.0,1,Cash
124,2024-10-26 10:40:23,Saturday,0,10,4.5,1,Card
125,2024-06-16 17:14:41,Sunday,0,17,8.5,1,Mobile Pay
126,2024-11-28 10:08:02,Thursday,0,10,10.25,3,Mobile Pay
127,2024-07-17 12:42:47,Wednesday,1,12,6.75,2,Mobile Pay
128,2024-02-20 16:39:26,Tuesday,1,16,3.0,1,Card
129,2024-04-30 16:06:43,Tuesday,0,16,7.0,1,Cash
130,2024-07-22 09:07:54,Monday,0,9,10.0,3,Mobile Pay
131,2024-06-19 09:08:50,Wednesday,0,9,6.0,2,Card
132,2024-04-29 11:09:50,Monday,1,11,5.5,1,Card
133,2024-10-03 09:11:07,Thursday,0,9,5.0,2,Cash
134,2024-10-28 09:11:16,Monday,0,9,3.25,1,Card
135,2024-08-31 11:23:32,Saturday,0,11,8.5,2,Cash
136,2024-09-23 09:41:01,Monday,0,9,4.5,1,Card
137,2024-02-25 11:58:28,Sunday,0,11,2.5,1,Cash
138,2024-03-05 11:40:37,Tuesday,1,11,8.0,1,Card
139,2024-09-15 12:06:50,Sunday,0,12,8.5,2,Cash
140,2024-08-08 12:14:26,Thursday,1,12,7.75,2,Card
141,2024-05-10 10:09:43,Friday,0,10,14.0,3,Card
142,2024-03-07 12:37:35,Thursday,0,12,7.75,2,Mobile Pay
143,2024-01-27 19:38:19,Saturday,1,19,7.0,2,Card
144,2024-06-28 16:23:07,Friday,1,16,17.0,2,Mobile Pay
145,2024-11-10 13:35:01,Sunday,0,13,6.0,2,Card
146,2024-12-25 15:58:21,Wednesday,1,15,3.0,1,Cash
147,2024-03-13 14:01:05,Wednesday,0,14,8.75,2,Card
148,2024-06-08 13:49:36,Saturday,0,13,9.5,2,Cash
149,2024-12-11 08:28:42,Wednesday,0,8,5.0,1,Card
150,2024-09-19 10:27:07,Thursday,1,10,8.25,3,Card
151,2024-01-29 08:19:13,Monday,1,8,10.25,3,Card
152,2024-07-13 12:14:32,Saturday,0,12,7.0,2,Card
153,2024-08-11 07:58:04,Sunday,0,7,9.5,3,Card
154,2024-07-26 07:20:10,Friday,0,7,20.5,3,Card
155,2024-05-04 12:25:33,Saturday,1,12,13.25,4,Cash
156,2024-09-18 10:49:22,Wednesday,1,10,17.5,5,Card
157,2024-02-08 10:49:40,Thursday,1,10,15.0,3,Card
158,2024-11-15 09:40:20,Friday,0,9,2.5,1,Card
159,2024-05-20 12:22:32,Monday,0,12,4.5,1,Card
160,2024-05-26 09:55:54,Sunday,1,9,7.5,2,Mobile Pay
161,2024-08-18 16:36:41,Sunday,0,16,5.0,1,Card
162,2024-08-18 08:57:53,Sunday,0,8,3.25,1,Card
163,2024-01-21 09:28:28,Sunday,0,9,9.0,2,Mobile Pay
164,2024-07-28 14:43:38,Sunday,0,14,5.0,1,Card
165,2024-02-18 12:24:18,Sunday,0,12,5.5,1,Mobile Pay
166,2024-03-17 10:37:42,Sunday,0,10,4.0,1,Mobile Pay
167,2024-12-05 10:38:45,Thursday,0,10,12.0,3,Cash
168,2024-12-25 15:47:43,Wednesday,0,15,8.75,3,Card
169,2024-04-02 17:21:49,Tuesday,0,17,4.0,1,Card
170,2024-05-31 15:06:32,Friday,0,15,14.0,2,Card
171,2024-11-12 08:24:09,Tuesday,0,8,8.5,1,Cash
172,2024-08-12 07:23:43,Monday,0,7,13.0,2,Cash
173,2024-04-29 13:19:51,Monday,1,13,14.25,4,Cash
174,2024-09-14 13:10:52,Saturday,1,13,8.0,2,Card
175,2024-10-10 17:45:54,Thursday,0,17,6.0,2,Card
176,2024-09-19 10:27:05,Thursday,1,10,4.5,1,Card
177,2024-07-31 09:32:23,Wednesday,1,9,27.0,5,Cash
178,2024-01-20 09:53:30,Saturday,0,9,6.25,2,Card
179,2024-02-10 07:13:53,Saturday,0,7,9.0,1,Cash
180,2024-02-26 15:15:19,Monday,1,15,3.0,1,Cash
181,2024-02-26 15:31:38,Monday,0,15,5.75,2,Cash
182,2024-08-07 06:22:15,Wednesday,0,6,7.0,2,Card
183,2024-02-04 18:34:32,Sunday,0,18,5.25,2,Mobile Pay
184,2024-11-21 10:23:16,Thursday,0,10,6.5,2,Card
185,2024-11-17 08:37:47,Sunday,0,8,7.0,2,Card
186,2024-03-30 15:43:29,Saturday,0,15,14.75,4,Mobile Pay
187,2024-05-30 09:50:12,Thursday,0,9,13.75,3,Cash
188,2024-05-09 07:41:12,Thursday,0,7,5.5,1,Card
189,2024-06-18 11:51:23,Tuesday,1,11,13.5,2,Card
190,2024-09-11 13:23:59,Wednesday,0,13,7.0,2,Card
191,2024-11-04 20:11:34,Monday,0,20,3.0,1,Card
192,2024-06-05 11:45:27,Wednesday,0,11,4.5,1,Card
193,2024-11-10 20:17:40,Sunday,1,20,18.0,4,Cash
194,2024-03-14 15:43:50,Thursday,0,15,3.0,1,Card
195,2024-07-06 10:36:02,Saturday,0,10,12.0,2,Card
196,2024-10-20 08:23:25,Sunday,0,8,4.5,1,Mobile Pay
197,2024-04-05 13:24:58,Friday,1,13,4.5,1,Card
198,2024-05-26 14:31:12,Sunday,1,14,19.0,4,Cash
199,2024-12-07 10:04:35,Saturday,0,10,11.0,2,Cash
200,2024-11-22 08:23:32,Friday,0,8,8.0,1,Cash
201,2024-09-09 07:35:36,Monday,0,7,8.5,1,Card
202,2024-02-14 09:25:45,Wednesday,1,9,12.0,2,Card
203,2024-11-24 08:29:43,Sunday,0,8,11.5,2,Card
204,2024-04-03 15:08:27,Wednesday,1,15,21.0,4,Mobile Pay
205,2024-06-26 17:33:57,Wednesday,0,17,2.5,1,Card
206,2024-05-20 08:19:39,Monday,0,8,6.75,2,Mobile Pay
207,2024-03-28 13:46:57,Thursday,0,13,11.25,2,Cash
208,2024-02-11 07:41:49,Sunday,0,7,6.5,2,Card
209,2024-01-16 13:40:34,Tuesday,1,13,21.25,5,Card
210,2024-07-31 11:13:21,Wednesday,0,11,7.75,2,Cash
211,2024-07-23 08:23:32,Tuesday,0,8,9.0,2,Card
212,2024-03-13 08:18:24,Wednesday,0,8,20.75,3,Cash
213,2024-06-09 08:10:31,Sunday,0,8,15.75,4,Card
214,2024-05-03 09:22:03,Friday,0,9,2.75,1,Mobile Pay
215,2024-12-10 12:34:00,Tuesday,1,12,8.75,2,Cash
216,2024-01-24 12:36:35,Wednesday,1,12,5.25,2,Cash
217,2024-11-15 13:07:08,Friday,0,13,21.25,4,Cash
218,2024-11-04 11:32:02,Monday,0,11,3.0,1,Card
219,2024-09-22 11:38:57,Sunday,0,11,9.5,2,Card
220,2024-06-02 12:32:53,Sunday,0,12,5.5,2,Card
221,2024-07-07 09:07:26,Sunday,0,9,6.75,2,Cash
222,2024-11-01 12:41:50,Friday,1,12,6.5,2,Card
223,2024-11-18 13:49:53,Monday,0,13,8.5,1,Card
224,2024-12-24 10:01:28,Tuesday,1,10,3.0,1,Card
225,2024-08-29 17:47:46,Thursday,1,17,4.0,1,Card
226,2024-09-01 12:20:11,Sunday,0,12,4.0,1,Card
227,2024-12-14 13:44:16,Saturday,0,13,8.5,2,Card
228,2024-06-01 14:45:13,Saturday,0,14,7.25,2,Card
229,2024-05-27 08:43:34,Monday,0,8,8.0,1,Cash
230,2024-05-28 07:45:05,Tuesday,0,7,4.5,1,Card
231,2024-04-19 09:34:17,Friday,0,9,11.0,3,Card
232,2024-01-26 14:33:14,Friday,1,14,4.75,1,Cash
233,2024-12-14 14:00:35,Saturday,0,14,17.0,4,Cash
234,2024-06-13 09:03:58,Thursday,0,9,7.5,2,Cash
235,2024-03-30 12:53:11,Saturday,1,12,8.5,1,Cash
236,2024-05-28 16:00:19,Tuesday,0,16,11.0,2,Card
237,2024-10-05 13:56:08,Saturday,1,13,7.0,2,Card
238,2024-11-27 09:11:00,Wednesday,0,9,6.25,2,Cash
239,2024-11-08 16:57:25,Friday,1,16,6.0,2,Card
240,2024-09-01 09:15:00,Sunday,0,9,4.5,1,Cash
241,2024-06-03 12:36:00,Monday,0,12,4.0,1,Card
242,2024-03-01 12:10:25,Friday,1,12,15.0,4,Mobile Pay
243,2024-11-10 10:08:30,Sunday,1,10,13.75,3,Card
244,2024-12-06 15:48:15,Friday,0,15,7.0,2,Card
245,2024-12-26 10:58:36,Thursday,0,10,8.5,1,Mobile Pay
246,2024-10-20 13:10:20,Sunday,1,13,6.25,2,Card
247,2024-08-16 15:29:08,Friday,0,15,7.0,2,Card
248,2024-01-12 10:52:00,Friday,0,10,6.0,2,Card
249,2024-10-04 20:59:57,Friday,0,20,9.0,1,Card
250,2024-04-02 15:49:41,Tuesday,1,15,12.75,2,Card
251,2024-07-11 08:42:55,Thursday,0,8,7.0,2,Card
252,2024-07-20 12:46:14,Saturday,0,12,16.0,3,Cash
253,2024-09-29 10:14:15,Sunday,0,10,4.0,1,Card
254,2024-01-17 15:26:39,Wednesday,0,15,8.0,2,Card
255,2024-10-31 07:38:43,Thursday,0,7,5.75,2,Card
256,2024-10-03 09:55:49,Thursday,0,9,2.75,1,Card
257,2024-06-12 12:49:43,Wednesday,0,12,18.0,3,Card
258,2024-06-02 09:35:37,Sunday,0,9,16.75,3,Card
259,2024-11-25 13:50:33,Monday,0,13,4.75,1,Card
260,2024-04-04 14:30:15,Thursday,0,14,16.25,3,Mobile Pay
261,2024-07-30 18:35:33,Tuesday,0,18,4.5,1,Card
262,2024-02-10 17:54:23,Saturday,0,17,3.25,1,Card
263,2024-07-12 13:38:02,Friday,0,13,10.75,3,Card
264,2024-04-16 16:21:19,Tuesday,0,16,23.5,4,Mobile Pay
265,2024-05-04 13:45:13,Saturday,0,13,4.5,1,Card
266,2024-07-13 11:41:22,Saturday,0,11,4.0,1,Mobile Pay
267,2024-02-20 15:46:30,Tuesday,0,15,8.5,2,Card
268,2024-10-15 16:47:09,Tuesday,0,16,2.75,1,Card
269,2024-05-31 08:21:14,Friday,0,8,8.5,1,Card
270,2024-12-16 11:48:52,Monday,1,11,11.0,3,Card
271,2024-10-06 11:58:56,Sunday,0,11,5.5,2,Card
272,2024-12-08 07:00:26,Sunday,0,7,5.0,1,Card
273,2024-01-05 09:29:23,Friday,0,9,3.0,1,Mobile Pay
274,2024-12-03 11:00:34,Tuesday,0,11,6.5,2,Card
275,2024-01-09 13:44:43,Tuesday,1,13,19.5,4,Cash
276,2024-06-30 09:25:05,Sunday,0,9,4.75,1,Card
277,2024-04-25 11:52:54,Thursday,1,11,18.75,5,Cash
278,2024-03-28 08:54:27,Thursday,0,8,12.0,2,Mobile Pay
279,2024-01-22 09:57:55,Monday,0,9,7.25,2,Mobile Pay
280,2024-05-23 16:36:42,Thursday,0,16,9.0,1,Card
281,2024-10-27 08:52:45,Sunday,0,8,16.25,3,Card
282,2024-12-12 16:21:24,Thursday,0,16,11.0,2,Cash
283,2024-06-26 07:27:14,Wednesday,0,7,16.5,3,Card
284,2024-01-16 14:50:28,Tuesday,1,14,13.5,2,Cash
285,2024-07-13 08:39:18,Saturday,0,8,5.75,2,Card
286,2024-11-20 08:24:20,Wednesday,0,8,3.0,1,Mobile Pay
287,2024-07-03 14:06:08,Wednesday,0,14,4.5,1,Card
288,2024-07-27 08:05:22,Saturday,0,8,7.0,2,Mobile Pay
289,2024-05-29 12:49:05,Wednesday,1,12,12.5,2,Card
290,2024-07-13 08:17:19,Saturday,0,8,3.0,1,Card
291,2024-08-03 09:50:04,Saturday,0,9,9.0,1,Cash
292,2024-10-31 12:29:06,Thursday,0,12,2.5,1,Card
293,2024-07-13 15:21:28,Saturday,0,15,8.5,1,Mobile Pay
294,2024-03-10 09:38:44,Sunday,0,9,4.5,1,Mobile Pay
295,2024-05-29 14:40:31,Wednesday,0,14,16.0,4,Card
296,2024-04-12 12:34:11,Friday,0,12,13.0,2,Card
297,2024-04-17 12:18:53,Wednesday,1,12,11.0,3,Cash
298,2024-05-09 13:45:27,Thursday,0,13,10.5,2,Card
299,2024-09-30 11:58:55,Monday,0,11,7.5,2,Card
300,2024-10-31 13:05:06,Thursday,0,13,7.0,2,Cash
301,2024-10-15 19:43:41,Tuesday,0,19,3.25,1,Mobile Pay
302,2024-02-24 06:16:14,Saturday,0,6,7.5,2,Card
303,2024-07-10 10:49:43,Wednesday,0,10,6.75,2,Card
304,2024-05-31 10:05:07,Friday,0,10,11.25,3,Cash
305,2024-09-04 10:06:28,Wednesday,0,10,7.0,2,Card
306,2024-02-28 08:21:41,Wednesday,1,8,16.25,3,Card
307,2024-10-13 10:29:14,Sunday,0,10,9.0,2,Cash
308,2024-01-15 15:56:12,Monday,1,15,6.5,2,Card
309,2024-02-02 12:51:55,Friday,0,12,8.0,2,Card
310,2024-09-07 12:40:20,Saturday,0,12,8.5,2,Card
311,2024-11-12 08:43:45,Tuesday,0,8,13.5,3,Card
312,2024-06-05 08:23:44,Wednesday,0,8,4.75,1,Card
313,2024-07-15 10:31:40,Monday,0,10,16.0,2,Card
314,2024-09-07 09:11:20,Saturday,0,9,19.5,3,Card
315,2024-07-15 18:32:41,Monday,0,18,3.0,1,Card
316,2024-09-07 08:36:01,Saturday,0,8,6.5,2,Card
317,2024-03-27 14:36:47,Wednesday,0,14,5.5,2,Card
318,2024-10-05 15:23:34,Saturday,0,15,9.75,3,Mobile Pay
319,2024-11-30 14:19:55,Saturday,0,14,21.5,4,Mobile Pay
320,2024-04-17 15:37:44,Wednesday,0,15,3.25,1,Cash
321,2024-11-11 08:13:52,Monday,0,8,2.5,1,Card
322,2024-11-01 12:20:45,Friday,0,12,2.75,1,Mobile Pay
323,2024-12-13 15:08:48,Friday,0,15,15.0,2,Mobile Pay
324,2024-12-25 16:15:09,Wednesday,0,16,12.0,2,Cash
325,2024-03-13 13:17:40,Wednesday,1,13,8.5,2,Card
326,2024-05-22 13:56:23,Wednesday,0,13,2.75,1,Card
327,2024-08-22 14:44:22,Thursday,1,14,21.25,3,Card
328,2024-05-25 10:36:08,Saturday,0,10,6.75,2,Cash
329,2024-01-24 08:50:53,Wednesday,0,8,3.0,1,Mobile Pay
330,2024-08-21 06:27:12,Wednesday,0,6,22.5,4,Mobile Pay
331,2024-12-01 11:05:23,Sunday,1,11,7.5,2,Cash
332,2024-08-07 13:45:06,Wednesday,0,13,4.5,1,Card
333,2024-09-22 13:00:00,Sunday,0,13,16.5,2,Card
334,2024-09-01 08:24:05,Sunday,0,8,7.5,2,Mobile Pay
335,2024-07-14 14:48:55,Sunday,0,14,8.0,1,Card
336,2024-10-15 08:41:10,Tuesday,1,8,13.75,3,Cash
337,2024-02-14 17:08:48,Wednesday,1,17,12.25,3,Card
338,2024-02-13 09:38:38,Tuesday,0,9,13.5,2,Card
339,2024-06-03 09:38:32,Monday,0,9,4.75,1,Cash
340,2024-09-10 10:15:31,Tuesday,0,10,8.0,2,Card
341,2024-06-11 08:55:53,Tuesday,0,8,7.0,2,Cash
342,2024-01-09 12:00:16,Tuesday,0,12,7.0,1,Mobile Pay
343,2024-09-16 09:45:32,Monday,0,9,9.5,2,Cash
344,2024-11-11 08:05:19,Monday,0,8,7.0,1,Mobile Pay
345,2024-10-01 09:37:40,Tuesday,0,9,6.0,2,Card
346,2024-05-02 09:05:59,Thursday,1,9,9.5,2,Cash
347,2024-03-02 08:08:44,Saturday,1,8,8.0,2,Cash
348,2024-03-26 12:47:49,Tuesday,1,12,14.0,3,Card
349,2024-02-02 09:36:40,Friday,0,9,4.5,1,Card
350,2024-10-17 08:10:16,Thursday,0,8,10.0,2,Card
351,2024-01-02 07:55:00,Tuesday,0,7,4.5,1,Card
352,2024-04-01 18:54:02,Monday,1,18,17.25,4,Cash
353,2024-02-09 13:07:32,Friday,1,13,4.0,1,Card
354,2024-07-24 07:29:55,Wednesday,0,7,8.5,1,Card
355,2024-08-21 06:12:18,Wednesday,0,6,9.5,2,Card
356,2024-09-09 20:49:12,Monday,0,20,7.5,2,Card
357,2024-01-13 11:22:40,Saturday,1,11,23.0,4,Cash
358,2024-04-15 12:15:26,Monday,0,12,2.5,1,Mobile Pay
359,2024-05-23 08:58:14,Thursday,0,8,11.25,3,Mobile Pay
360,2024-10-24 08:08:40,Thursday,0,8,9.75,3,Mobile Pay
361,2024-05-29 09:20:59,Wednesday,0,9,11.0,3,Card
362,2024-04-13 08:49:37,Saturday,0,8,3.0,1,Card
363,2024-07-27 10:22:49,Saturday,1,10,4.5,1,Card
364,2024-12-17 09:45:44,Tuesday,0,9,9.5,2,Card
365,2024-05-07 18:25:32,Tuesday,0,18,4.5,1,Cash
366,2024-01-16 18:54:28,Tuesday,1,18,6.0,2,Cash
367,2024-01-07 09:49:14,Sunday,1,9,12.0,3,Card
368,2024-02-08 08:04:12,Thursday,1,8,10.0,2,Cash
369,2024-03-03 07:29:03,Sunday,0,7,2.75,1,Cash
370,2024-09-11 09:43:27,Wednesday,1,9,4.0,1,Card
371,2024-01-18 14:39:15,Thursday,1,14,10.0,2,Card
372,2024-03-11 10:41:56,Monday,0,10,12.5,2,Card
373,2024-07-14 14:22:30,Sunday,0,14,9.75,2,Card
374,2024-05-18 08:20:38,Saturday,0,8,7.0,1,Cash
375,2024-08-29 12:49:37,Thursday,0,12,18.5,4,Cash
376,2024-04-22 12:51:24,Monday,0,12,8.5,1,Cash
377,2024-05-01 13:51:47,Wednesday,1,13,17.5,4,Card
378,2024-09-09 13:11:31,Monday,1,13,3.5,1,Card
379,2024-01-01 11:39:12,Monday,1,11,4.0,1,Cash
380,2024-01-31 07:37:45,Wednesday,0,7,17.5,3,Mobile Pay
381,2024-12-26 17:25:37,Thursday,0,17,4.5,1,Card
382,2024-08-11 15:31:41,Sunday,0,15,3.25,1,Card
383,2024-07-01 10:37:52,Monday,1,10,3.0,1,Card
384,2024-12-25 17:25:54,Wednesday,0,17,22.0,4,Mobile Pay
385,2024-11-23 12:59:31,Saturday,0,12,3.25,1,Card
386,2024-03-26 13:05:52,Tuesday,0,13,8.5,2,Card
387,2024-04-17 09:04:22,Wednesday,0,9,3.0,1,Card
388,2024-08-12 14:10:56,Monday,0,14,5.5,1,Card
389,2024-02-21 15:50:55,Wednesday,0,15,7.5,2,Card
390,2024-05-30 07:16:06,Thursday,0,7,4.0,1,Card
391,2024-10-07 17:05:21,Monday,0,17,7.75,2,Card
392,2024-03-25 14:27:10,Monday,1,14,8.0,1,Card
393,2024-10-03 09:18:19,Thursday,0,9,2.5,1,Card
394,2024-03-19 09:00:27,Tuesday,1,9,12.5,3,Card
395,2024-05-29 18:30:54,Wednesday,0,18,3.5,1,Card
396,2024-05-15 08:34:24,Wednesday,0,8,5.5,1,Card
397,2024-01-23 09:29:16,Tuesday,0,9,4.5,1,Card
398,2024-12-07 09:42:22,Saturday,1,9,7.5,2,Card
399,2024-09-24 10:34:43,Tuesday,0,10,14.5,3,Card
400,2024-01-18 11:57:33,Thursday,0,11,11.0,3,Cash
401,2024-03-26 18:51:12,Tuesday,0,18,4.75,1,Mobile Pay
402,2024-04-13 20:40:09,Saturday,1,20,7.0,1,Mobile Pay
403,2024-02-14 12:25:35,Wednesday,1,12,4.5,1,Mobile Pay
404,2024-11-15 12:50:26,Friday,0,12,3.0,1,Card
405,2024-02-21 17:36:49,Wednesday,0,17,4.5,1,Card
406,2024-07-29 09:41:31,Monday,0,9,8.5,2,Card
407,2024-11-07 13:25:02,Thursday,0,13,5.5,1,Cash
408,2024-08-31 17:57:23,Saturday,0,17,8.5,1,Card
